query_index,query,model,relevance,hallucination_risk,traceability,comments
1,What are the key risks in cross-border data sharing agreements?,autonomous,,,,
1,What are the key risks in cross-border data sharing agreements?,at_source,,,,
1,What are the key risks in cross-border data sharing agreements?,custodian,,,,
1,What are the key risks in cross-border data sharing agreements?,guided,,,,
1,What are the key risks in cross-border data sharing agreements?,federated,,,,
1,What are the key risks in cross-border data sharing agreements?,baseline,,,,
2,How does anonymization impact the utility of patient data in research?,autonomous,,,,
2,How does anonymization impact the utility of patient data in research?,at_source,,,,
2,How does anonymization impact the utility of patient data in research?,custodian,,,,
2,How does anonymization impact the utility of patient data in research?,guided,,,,
2,How does anonymization impact the utility of patient data in research?,federated,,,,
2,How does anonymization impact the utility of patient data in research?,baseline,,,,
3,What obligations exist under GDPR for sharing genetic data?,autonomous,,,,
3,What obligations exist under GDPR for sharing genetic data?,at_source,,,,
3,What obligations exist under GDPR for sharing genetic data?,custodian,,,,
3,What obligations exist under GDPR for sharing genetic data?,guided,,,,
3,What obligations exist under GDPR for sharing genetic data?,federated,,,,
3,What obligations exist under GDPR for sharing genetic data?,baseline,,,,
4,How can federated learning preserve privacy in hospital networks?,autonomous,,,,
4,How can federated learning preserve privacy in hospital networks?,at_source,,,,
4,How can federated learning preserve privacy in hospital networks?,custodian,,,,
4,How can federated learning preserve privacy in hospital networks?,guided,,,,
4,How can federated learning preserve privacy in hospital networks?,federated,,,,
4,How can federated learning preserve privacy in hospital networks?,baseline,,,,
5,What ethical risks arise in AI-based clinical decision making?,autonomous,,,,
5,What ethical risks arise in AI-based clinical decision making?,at_source,,,,
5,What ethical risks arise in AI-based clinical decision making?,custodian,,,,
5,What ethical risks arise in AI-based clinical decision making?,guided,,,,
5,What ethical risks arise in AI-based clinical decision making?,federated,,,,
5,What ethical risks arise in AI-based clinical decision making?,baseline,,,,
6,What are the recommended encryption algorithms for securing federated brain-computer interface data?,autonomous,,,,
6,What are the recommended encryption algorithms for securing federated brain-computer interface data?,at_source,,,,
6,What are the recommended encryption algorithms for securing federated brain-computer interface data?,custodian,,,,
6,What are the recommended encryption algorithms for securing federated brain-computer interface data?,guided,,,,
6,What are the recommended encryption algorithms for securing federated brain-computer interface data?,federated,,,,
6,What are the recommended encryption algorithms for securing federated brain-computer interface data?,baseline,,,,
